timestamp, low_ask, low_bid, high_ask, high_bid
2019-07-28T21:00:00,3022.07,3022.67,3024.32,3024.92
2019-07-28T23:00:00,3019.57,3020.17,3022.82,3023.42
2019-07-29T01:00:00,3018.57,3019.17,3021.82,3022.42
2019-07-29T03:00:00,3019.07,3019.67,3020.32,3020.92
2019-07-29T05:00:00,3018.57,3019.17,3020.57,3021.17
2019-07-29T07:00:00,3018.82,3019.42,3023.82,3024.42
2019-07-29T09:00:00,3020.57,3021.17,3023.32,3023.92
2019-07-29T11:00:00,3021.07,3021.67,3025.82,3026.42
2019-07-29T13:00:00,3014.31,3014.71,3025.07,3025.67
2019-07-29T15:00:00,3017.31,3017.71,3022.31,3022.71
2019-07-29T17:00:00,3018.89,3019.29,3022.64,3023.04
2019-07-29T19:00:00,3018.89,3019.29,3022.9,3023.3
2019-07-29T21:00:00,3020.02,3020.97,3023.25,3023.85
2019-07-29T23:00:00,3022.5,3023.1,3024.75,3025.35
2019-07-30T01:00:00,3022.5,3023.1,3025.75,3026.35
2019-07-30T03:00:00,3023.5,3024.1,3025.25,3025.85
2019-07-30T05:00:00,3021.75,3022.35,3024.5,3025.1
2019-07-30T07:00:00,3012.75,3013.35,3022.25,3022.85
2019-07-30T09:00:00,3010.0,3010.6,3014.5,3015.1
2019-07-30T11:00:00,3002.5,3003.1,3013.75,3014.35
2019-07-30T13:00:00,2999.85,3000.25,3012.38,3012.78
2019-07-30T15:00:00,3008.15,3008.55,3014.15,3014.55
2019-07-30T17:00:00,3008.65,3009.05,3016.65,3017.05
2019-07-30T19:00:00,3009.47,3009.87,3014.91,3015.31
2019-07-30T21:00:00,3012.82,3014.13,3015.65,3016.25
2019-07-30T23:00:00,3012.4,3013.0,3016.78,3017.38
2019-07-31T01:00:00,3012.53,3013.13,3016.53,3017.13
2019-07-31T03:00:00,3015.03,3015.63,3018.28,3018.88
2019-07-31T05:00:00,3013.03,3013.63,3019.28,3019.88
2019-07-31T07:00:00,3012.53,3013.13,3019.03,3019.63
2019-07-31T09:00:00,3014.03,3014.63,3018.28,3018.88
2019-07-31T11:00:00,3015.03,3015.63,3018.03,3018.63
2019-07-31T13:00:00,3008.13,3008.53,3016.78,3017.38
2019-07-31T15:00:00,3011.65,3012.05,3017.4,3017.8
2019-07-31T17:00:00,2957.16,2957.56,3016.16,3016.56
2019-07-31T19:00:00,2971.59,2972.19,2997.87,2998.27
2019-07-31T21:00:00,2965.22,2965.82,2973.39,2974.89
2019-07-31T23:00:00,2969.72,2970.32,2975.22,2975.82
2019-08-01T01:00:00,2973.97,2974.57,2983.22,2983.82
2019-08-01T03:00:00,2979.22,2979.82,2983.72,2984.32
2019-08-01T05:00:00,2972.47,2973.07,2980.72,2981.32
2019-08-01T07:00:00,2971.97,2972.57,2983.22,2983.82
2019-08-01T09:00:00,2980.97,2981.57,2988.22,2988.82
2019-08-01T11:00:00,2979.47,2980.07,2986.97,2987.57
2019-08-01T13:00:00,2976.72,2977.32,3008.2,3008.6
2019-08-01T15:00:00,3005.2,3005.6,3013.95,3014.35
2019-08-01T17:00:00,2943.97,2944.37,3010.2,3010.6
2019-08-01T19:00:00,2946.97,2947.57,2964.72,2965.12
2019-08-01T21:00:00,2941.85,2942.45,2951.6,2952.2
2019-08-01T23:00:00,2938.6,2939.2,2950.85,2951.45
2019-08-02T01:00:00,2939.85,2940.45,2949.1,2949.7
2019-08-02T03:00:00,2940.1,2940.7,2948.6,2949.2
2019-08-02T05:00:00,2945.6,2946.2,2950.1,2950.7
2019-08-02T07:00:00,2934.85,2935.45,2950.1,2950.7
2019-08-02T09:00:00,2933.6,2934.2,2946.85,2947.45
2019-08-02T11:00:00,2933.1,2933.7,2944.97,2945.57
2019-08-02T13:00:00,2914.43,2914.83,2960.85,2961.45
2019-08-02T15:00:00,2913.68,2914.08,2933.43,2933.83
2019-08-02T17:00:00,2916.53,2916.93,2931.28,2931.68
2019-08-02T19:00:00,2921.53,2921.93,2945.1,2945.5
2019-08-04T21:00:00,2925.86,2926.46,2931.61,2932.21
2019-08-04T23:00:00,2925.36,2925.96,2931.86,2932.46
2019-08-05T01:00:00,2898.86,2899.46,2933.61,2934.21
2019-08-05T03:00:00,2894.11,2894.71,2902.61,2903.21
2019-08-05T05:00:00,2896.48,2897.08,2904.11,2904.71
2019-08-05T07:00:00,2889.61,2890.21,2905.61,2906.21
2019-08-05T09:00:00,2887.36,2887.96,2901.86,2902.46
2019-08-05T11:00:00,2885.36,2885.96,2895.36,2895.96
2019-08-05T13:00:00,2861.48,2861.88,2888.36,2888.96
2019-08-05T15:00:00,2846.5,2846.9,2877.48,2877.88
2019-08-05T17:00:00,2830.16,2830.56,2859.0,2859.4
2019-08-05T19:00:00,2821.29,2821.69,2851.98,2852.38
2019-08-05T21:00:00,2783.66,2784.26,2826.79,2828.29
2019-08-05T23:00:00,2776.91,2777.51,2798.91,2799.51
2019-08-06T01:00:00,2794.66,2795.26,2824.03,2824.63
2019-08-06T03:00:00,2809.91,2810.51,2851.03,2851.63
2019-08-06T05:00:00,2833.16,2833.76,2842.16,2842.76
2019-08-06T07:00:00,2834.91,2835.51,2855.91,2856.51
2019-08-06T09:00:00,2852.41,2853.01,2860.66,2861.26
2019-08-06T11:00:00,2852.66,2853.26,2865.91,2866.51
2019-08-06T13:00:00,2851.26,2851.66,2873.26,2873.66
2019-08-06T15:00:00,2847.17,2847.57,2864.17,2864.57
2019-08-06T17:00:00,2855.42,2855.82,2884.2,2884.6
2019-08-06T19:00:00,2871.76,2872.16,2884.51,2884.91
2019-08-06T21:00:00,2873.33,2873.93,2876.62,2878.12
2019-08-06T23:00:00,2864.83,2865.43,2873.58,2874.18
2019-08-07T01:00:00,2855.83,2856.43,2874.83,2875.43
2019-08-07T03:00:00,2855.58,2856.18,2864.33,2864.93
2019-08-07T05:00:00,2859.33,2859.93,2873.83,2874.43
2019-08-07T07:00:00,2867.58,2868.18,2886.33,2886.93
2019-08-07T09:00:00,2882.08,2882.68,2889.83,2890.43
2019-08-07T11:00:00,2846.08,2846.68,2885.45,2886.05
2019-08-07T13:00:00,2823.93,2824.33,2868.83,2869.23
2019-08-07T15:00:00,2846.08,2846.48,2867.83,2868.23
2019-08-07T17:00:00,2860.9,2861.3,2885.65,2886.05
2019-08-07T19:00:00,2876.9,2877.3,2892.4,2892.8
2019-08-07T21:00:00,2876.32,2876.92,2883.82,2884.42
2019-08-07T23:00:00,2872.57,2873.17,2885.82,2886.42
2019-08-08T01:00:00,2870.82,2871.42,2893.07,2893.67
2019-08-08T03:00:00,2883.57,2884.17,2894.82,2895.42
2019-08-08T05:00:00,2890.82,2891.42,2896.57,2897.17
2019-08-08T07:00:00,2881.32,2881.92,2895.07,2895.67
2019-08-08T09:00:00,2886.57,2887.17,2894.07,2894.67
2019-08-08T11:00:00,2883.44,2884.04,2893.57,2894.17
2019-08-08T13:00:00,2892.92,2893.32,2918.38,2918.78
2019-08-08T15:00:00,2912.63,2913.03,2932.38,2932.78
2019-08-08T17:00:00,2924.93,2925.33,2934.13,2934.53
2019-08-08T19:00:00,2926.93,2927.33,2940.63,2941.32
2019-08-08T21:00:00,2915.76,2916.36,2938.83,2940.33
2019-08-08T23:00:00,2920.76,2921.36,2935.51,2936.11
2019-08-09T01:00:00,2924.76,2925.36,2931.76,2932.36
2019-08-09T03:00:00,2923.01,2923.61,2928.76,2929.36
2019-08-09T05:00:00,2925.26,2925.86,2930.26,2930.86
2019-08-09T07:00:00,2922.51,2923.11,2930.26,2930.86
2019-08-09T09:00:00,2920.51,2921.11,2929.51,2930.11
2019-08-09T11:00:00,2917.76,2918.36,2927.01,2927.61
2019-08-09T13:00:00,2907.61,2908.01,2935.36,2935.76
2019-08-09T15:00:00,2899.7,2900.1,2923.63,2924.03
2019-08-09T17:00:00,2913.38,2913.78,2928.13,2928.53
2019-08-09T19:00:00,2916.79,2917.39,2932.64,2933.04
2019-08-11T21:00:00,2919.54,2920.14,2926.04,2926.64
2019-08-11T23:00:00,2912.54,2913.14,2921.29,2921.89
2019-08-12T01:00:00,2917.29,2917.89,2927.29,2927.89
2019-08-12T03:00:00,2921.29,2921.89,2927.29,2927.89
2019-08-12T05:00:00,2920.79,2921.39,2927.54,2928.14
2019-08-12T07:00:00,2904.29,2904.89,2930.29,2930.89
2019-08-12T09:00:00,2895.04,2895.64,2908.54,2909.14
2019-08-12T11:00:00,2892.54,2893.14,2905.79,2906.39
2019-08-12T13:00:00,2893.14,2893.54,2907.84,2908.24
2019-08-12T15:00:00,2888.09,2888.49,2902.34,2902.74
2019-08-12T17:00:00,2872.52,2872.92,2896.02,2896.42
2019-08-12T19:00:00,2875.02,2875.42,2884.86,2885.26
2019-08-12T21:00:00,2879.97,2880.57,2884.47,2885.07
2019-08-12T23:00:00,2881.47,2882.07,2888.22,2888.82
2019-08-13T01:00:00,2880.72,2881.32,2889.22,2889.82
2019-08-13T03:00:00,2883.72,2884.32,2886.97,2887.57
2019-08-13T05:00:00,2870.97,2871.57,2887.22,2887.82
2019-08-13T07:00:00,2870.47,2871.07,2882.47,2883.07
2019-08-13T09:00:00,2866.22,2866.82,2880.47,2881.07
2019-08-13T11:00:00,2867.47,2868.07,2880.22,2880.82
2019-08-13T13:00:00,2871.72,2872.32,2943.93,2944.33
2019-08-13T15:00:00,2917.43,2917.83,2937.18,2937.58
2019-08-13T17:00:00,2922.25,2922.65,2935.5,2935.9
2019-08-13T19:00:00,2923.19,2923.59,2932.62,2933.22
2019-08-13T21:00:00,2926.75,2927.35,2931.75,2932.35
2019-08-13T23:00:00,2926.25,2926.85,2932.75,2933.35
2019-08-14T01:00:00,2921.75,2922.35,2934.75,2935.35
2019-08-14T03:00:00,2922.75,2923.35,2930.75,2931.35
2019-08-14T05:00:00,2926.5,2927.1,2931.5,2932.1
2019-08-14T07:00:00,2916.75,2917.35,2928.25,2928.85
2019-08-14T09:00:00,2900.5,2901.1,2920.0,2920.6
2019-08-14T11:00:00,2884.25,2884.85,2906.0,2906.6
2019-08-14T13:00:00,2867.35,2867.75,2893.75,2894.35
2019-08-14T15:00:00,2843.37,2843.77,2869.1,2869.5
2019-08-14T17:00:00,2840.87,2841.27,2861.12,2861.52
2019-08-14T19:00:00,2834.12,2835.21,2857.12,2857.52
2019-08-14T21:00:00,2832.74,2833.34,2839.74,2840.34
2019-08-14T23:00:00,2834.24,2834.84,2848.49,2849.09
2019-08-15T01:00:00,2844.24,2844.84,2856.24,2856.84
2019-08-15T03:00:00,2843.74,2844.34,2854.99,2855.59
2019-08-15T05:00:00,2849.24,2849.84,2863.74,2864.34
2019-08-15T07:00:00,2849.49,2850.09,2863.49,2864.09
2019-08-15T09:00:00,2816.74,2817.34,2858.74,2859.34
2019-08-15T11:00:00,2827.49,2828.09,2870.49,2871.09
2019-08-15T13:00:00,2833.59,2833.99,2859.74,2860.34
2019-08-15T15:00:00,2834.23,2834.63,2855.23,2855.63
2019-08-15T17:00:00,2824.57,2824.97,2850.82,2851.22
2019-08-15T19:00:00,2842.57,2842.97,2854.78,2855.18
2019-08-15T21:00:00,2848.12,2849.31,2856.71,2857.31
2019-08-15T23:00:00,2848.46,2849.06,2860.46,2861.06
2019-08-16T01:00:00,2858.21,2858.81,2864.46,2865.06
2019-08-16T03:00:00,2860.71,2861.31,2866.96,2867.56
2019-08-16T05:00:00,2860.71,2861.31,2868.21,2868.81
2019-08-16T07:00:00,2860.21,2860.81,2875.96,2876.56
2019-08-16T09:00:00,2870.71,2871.31,2877.21,2877.81
2019-08-16T11:00:00,2870.21,2870.81,2877.21,2877.81
2019-08-16T13:00:00,2861.71,2862.31,2890.78,2891.18
2019-08-16T15:00:00,2882.53,2882.93,2891.53,2891.93
2019-08-16T17:00:00,2883.88,2884.28,2892.03,2892.43
